storename,address,위도,경도
부산부곡3동점,"부산 금정구 수림로 12 (부곡동, 에스케이아파트) ",35.2401757,129.0910595
부산사직점,부산 동래구 사직로70번길 76 (사직동) ,35.1986198,129.0573652
부산서동점,부산 금정구 서부로 12 (서동) ,35.2153825,129.1043338
부산신만덕점,부산 북구 만덕3로 60 (만덕동) ,35.2108255,129.0293385
부산안락점,부산 동래구 안락로 131-1 (안락동) ,35.1991187,129.1114546
부산명륜점,부산 동래구 시실로 23 (명륜동) ,35.2168499,129.0866316
부산여대점,부산 부산진구 진남로 497-1 (양정동) ,35.1686551,129.0704766
부산용호점,부산 남구 동명로145번길 1 (용호동) ,35.1196023,129.1126891
부산배산역점,부산 수영구 연수로263번길 3 (망미동) ,35.1733022,129.0995309
부산장전1동점,"부산 금정구 수림로61번길 44 (장전동, 수림타워) ",35.2380019,129.0853518
부산재송점,"부산 해운대구 재반로 182 (재송동, 비둘기맨션) ",35.1934803,129.1305478
부산정관용수점,부산 기장군 정관읍 정관로 499 ,35.3256952,129.1708156
부산좌4동점,부산 해운대구 좌동순환로 175 (좌동) ,35.1781111,129.1755281
부산학장점,"부산 사상구 대동로 98 (학장동, 학장반도보라타운) ",35.1374118,128.9793928
부산화명점,부산 북구 금곡대로303번길 62 (화명동) ,35.2360454,129.0103607
부산기장점,부산 기장군 기장읍 차성동로 111 ,35.2478272,129.2166021
부산일광신도시점,부산 기장군 일광면 해빛2로 21 (e편한세상 일광) ,35.2685066,129.2253552
당진신평점,충남 당진시 신평면 거산3거리길 11 ,36.8792906,126.7531803
당진원당점,"충남 당진시 밤절로 104 (원당동, 그린빌아파트) ",36.9010476,126.6435060
당진읍내점,충남 당진시 당진중앙1로 174 (읍내동) ,36.8965132,126.6329730
서산대산점,충남 서산시 대산읍 구진로 7 ,36.9362890,126.4355695
서산석림점,충남 서산시 동서1로 35 (석림동) ,36.7707606,126.4650512
서산중앙점,충남 서산시 중앙로 35-1 (동문동) ,36.7814097,126.4553151
서산해미점,충남 서산시 해미면 남문5로 3 ,36.7131028,126.5445889
서산성연점,충남 서산시 성연면 성연3로 57-30 (고운라피네 서산테크노밸리) ,36.8236661,126.4466861
서산지곡점,충남 서산시 지곡면 무장길 453-4 ,36.8446292,126.4451137
아산둔포점,충남 아산시 둔포면 둔포중앙로109번길 4 ,36.9305477,127.0389479
아산모산점,충남 아산시 배방읍 배방로 53 ,36.7721102,127.0552284
아산모종점,충남 아산시 문화로 351 (모종동) ,36.7818316,127.0184918
