가맹점명,주소,위도,경도
내일동,경남 밀양시 내이동 1566-6,35.4994084,128.7466520
내포1호,충남 홍성군 홍북면 신경리 1181번지 승우빌딩 107호,36.6481097,126.6746963
노대효천,광주 남구 노대동 819,35.1023582,126.9014187
노량진,서울 동작구 노량진동 37-1,37.5123832,126.9385754
노암,강원 강릉시 노암동 708-1,37.7479985,128.8971170
노은1지구,대전 유성구 노은동 553-9 스타돔 120호,36.3658129,127.3172766
노은2지구,대전 유성구 지족동 985-2,36.3870240,127.3161117
노형,제주 제주시 노형동 1055-1,33.4886429,126.4759347
녹번,서울 은평구 녹번동 82-47,37.6034902,126.9257936
녹양,경기 의정부시 가능동 92-51,37.7585153,127.0407900
논공,대구 달성군 논공읍 북리 803-148,35.7298484,128.4453948
논현1호(서울),서울 강남구 논현동 164-16,37.5083552,127.0234459
논현1호(인천),인천 남동구 논현동 620-8,37.4020201,126.7215098
논현에코메트로,인천 남동구 논현동 752-1,37.3984836,126.7341642
농성1호,광주 서구 화정동 178-128,35.1549836,126.8808712
늘품,강원 원주시 반곡동 1767-54,37.3331561,127.9630827
능곡,경기 시흥시 능곡동 545,37.3703247,126.8104758
능평,경기 처인구 모현읍 능원리 16-11,37.3432726,127.1774407
다대1호,부산 사하구 다대2동 85-5,35.0665571,128.9803139
다대2호,부산 사하구 다대동 1014,35.0586485,128.9659410
다사,대구 달성군 다사읍 죽곡리 809-1,35.8568475,128.4645436
다산,경북 고령군 다산면 상곡리 162-21,35.8240527,128.4502179
다산신도시1호,경기 남양주시 다산동 산3006-2,37.6214301,127.1612650
다운,울산 중구 다운동 536-1,35.5582784,129.2727467
다정,세종특별자치시 다정동 363-10,36.4921075,127.2553108
단계,강원 원주시 단계동 838-4,37.3479836,127.9300585
단구,강원 원주시 단구동 1631-2,37.3229204,127.9571497
단양,충북 단양군 단양읍 도전리 523,36.9810811,128.3702984
달동,울산 남구 달동 135-2,35.5349441,129.3242857
달성비산,대구 서구 비산동 440-5,35.8746770,128.5709029
담양,전남 담양군 담양읍 백동리 247-7,35.3129895,126.9829679
답십리1호,서울 동대문구 답십리동 53-50,37.5722845,127.0571367
당감,부산 부산진구 당감동 367-2,35.1647939,129.0346715
당동1호,경기 군포시 당동 904-5 그린프라자 102호,37.3479296,126.9439443
당리괴정2호,부산 사하구 괴정동 577-42,35.1000088,128.9833570
당산,서울 영등포구 영등포동8가 35-1,37.5267541,126.9050464
당하,인천 서구 마전동 585,37.5952241,126.6721762
대곡,대구 달서구 도원동 1442-2 1층 107호,35.8060523,128.5351847
대곡2지구,대구 달서구 대곡동 1068,35.8035196,128.5291248
대관령,강원 평창군 횡계리 354-8,37.6667880,128.7101371
대교남항,부산 영도구 남항동1가 82,35.0902118,129.0383684
대구혁신,대구 동구 각산동 1098-5 102호,35.8777083,128.7222594
대림2호,서울 영등포구 대림동 783-1,37.5025428,126.8962519
대명1호,대구 남구 대명동 1098-4,35.8389485,128.5641831
대방,경남 창원시 성산구 성주동 100,35.2038448,128.7116559
대사부사,대전 중구 대사동 69-53,36.3183872,127.4297540
대소,충북 음성군 대소면 태생리 539-170,36.9649612,127.4907399
대신,부산 서구 서대신동1가 163-1,35.1094136,129.0147641
대연1호,부산 남구 대연동 1013-8,35.1300070,129.0899871
대연2호,부산 남구 대연동 52-7,35.1366681,129.1020801
대연3호,부산 남구 대연동 1161-9,35.1254625,129.0889411
대정,제주 서귀포시 대정읍 하모리 1048-4,33.2208699,126.2507035
대조,서울특별시 은평구 대조동 231,37.6090415,126.9217359
대청,경남 김해시 대청동 61-1,35.1938611,128.7974085
대치1호,서울 강남구 대치동936,37.4975329,127.0526933
대치2호,서울 강남구 대치동 989-4,37.4986653,127.0618028
대학로,서울 종로구 명륜동4가 113-1,37.5820867,127.0004837
대해중앙,경북 포항시 남구 대도동 97-4,36.0208151,129.3633489
대화,경기 고양시 일산서구 대화동 2126-2 (동남빌딩 101호),37.6785394,126.7551091
대흥,대전 중구 대흥동 204-3,36.3277129,127.4245286
덕계,경남 양산시 덕계동 750,35.3730204,129.1495183
덕계(양주),경기 양주시 덕계동 698-5,37.8166880,127.0458655
덕산,충북 진천군 덕산읍 용몽리 85,36.9083673,127.5181626
덕성여대,서울 강북구 우이동 72-133,37.6502187,127.0131230
덕소1호,경기 남양주시 와부읍 덕소리 141-91,37.5879445,127.2169152
덕신,울산 울주군 덕신리 1294-2,35.4349243,129.3106961
덕정1호,경기 양주시 덕정동 240-27,37.8346933,127.0656430
덕천2호,부산 북구 덕천3동 781-2,35.2107756,129.0191851
덕천역,부산 북구 덕천동 402-12,35.2096088,129.0075494
덕충,전남 여수시 덕충동 2041,34.7531688,127.7433022
덕포,부산 사상구 덕포동 767-10,35.1757319,128.9886875
덕풍1호,경기 하남시 덕풍동 309-64,37.5434830,127.2026968
덕하,울산 울주군 상남리 818-17,35.4845474,129.3039955
도계명서,경남 창원시 의창구 도계동 396-9,35.2577711,128.6392783
도곡,서울 강남구 도곡동 416-4,37.4853391,127.0441262
도구청림,경북 포항시 남구 동해면 도구리 694-3,35.9880822,129.4423367
도남지구,대구 북구 국우동 592-1,35.9506142,128.5799839
도농1호,경기 남양주시 다산동 608,37.6043327,127.1596053
도담,세종 도담동 245-1,36.5152267,127.2575548
도두해안도로,제주 제주시 도두1동 2625-4,33.5037387,126.4661916
도량,경북 구미시 도량동 262-1,36.1385665,128.3241720
도마1호,대전 서구 도마동 114-19,36.3163594,127.3715032
도봉동,서울 도봉구 도봉2동 623-163,37.6717085,127.0463179
도안1지구,대전 유성구 상대동 469-9,36.3474834,127.3391568
도안2지구,대전 서구 가수원동 1036,36.3063271,127.3519035
도화(서울),서울 마포구 도화동 55,37.5382978,126.9464281
도화(인천),인천 미추홀구 도화동 1005-3 스카이프라자2,37.4726337,126.6615569
독립문,서울 서대문구 냉천동 226,37.5676348,126.9645062
독산1호,서울 금천구 독산동 961-10,37.4774057,126.9039497
독산2동,서울 금천구 독산동 1059-4,37.4612740,126.8984710
돌산,전남 여수시 돌산읍 우두리 1095-9,34.7194477,127.7523741
동구청,대구 동구 신암동 345-3,35.8846681,128.6328440
동금,경남 사천시 동금동 58-4,34.9328720,128.0813914
동남지구,충북 청주시 상당구 용암동 3034,36.6169100,127.5157980
동대,충남 보령시 동대동 1766,36.3469285,126.6040007
동덕여대,서울 성북구 하월곡동 17-1,37.6037134,127.0430094
동명,강원 속초시 동명동 1-18,38.2125814,128.5998369
동문,충남 서산시 동문동 406-2,36.7847335,126.4596340
동백1호,경기 용인시 기흥구 동백동 614-5,37.2835528,127.1534923
동부이촌,서울 용산구 이촌1동 301-153 오성상가 103,37.5207704,126.9745910
동삭1호,경기 평택시 동삭동 704-4,37.0070973,127.0961164
동산,전북 익산시 마동 344-5,35.9340399,126.9619570
동산조촌,전북 전주시 덕진구 반월동 230-6,35.8755660,127.0763514
동삼,부산 영도구 동삼동 219-146,35.0828152,129.0711201
동서대,부산 사상구 주례동 55-176,35.1497930,129.0136967
