가맹점명,주소,위도,경도
구리주공점,경기 구리시 건원대로76번길 29 (인창동),37.6083324,127.1405778
구리인창점,경기 구리시 동구릉로85번길 25 (인창동),37.6087930,127.1330541
구리수택점,경기 구리시 체육관로80번길 19 (수택동),37.5919196,127.1390495
구리갈매점,경기 구리시 갈매중앙로 89-8 (갈매동),37.6329101,127.1173149
구리검배사거리점,경기 구리시 벌말로 186 (토평동),37.5928659,127.1505873
산본시장점,경기 군포시 금산로 109 (산본동),37.3715667,126.9358659
군포당동점,경기 군포시 고산로 251 (당동),37.3459308,126.9440861
산본궁내점,"경기 군포시 고산로 529 (산본동, 금강2단지주상복합아파트)",37.3609580,126.9225128
군포흥진점,경기 군포시 광정로 25-58 (금정동),37.3541645,126.9305271
군포경찰서점,경기 군포시 번영로550번길 3 (금정동) 화성상가 102호,37.3600417,126.9377586
군포송정점,경기 군포시 송부로 92 (도마교동) 송정메디컬타워 1층 105호,37.3166312,126.9242371
군포첨단점,경기 군포시 번영로 40 (부곡동) 1층 104호 피자스쿨,37.3262569,126.9400354
군포대야미점,경기 군포시 대야1로22번길 4 (대야미동),37.3275009,126.9176782
한세대점,경기 군포시 고산로151번길 17 (당정동),37.3473126,126.9558865
김포풍무점,경기 김포시 풍무로 105 (풍무동),37.6049379,126.7218680
김포통진점,경기 김포시 통진읍 조강로 40,37.6898223,126.6011307
김포고촌점,경기 김포시 고촌읍 장차로 1,37.6025548,126.7696390
김포구래점,경기 김포시 김포한강4로 521 (구래동) 1층 112호,37.6458416,126.6261073
김포걸포점,경기 김포시 걸포2로 49 (걸포동) 105호,37.6346053,126.7025573
김포운양점,경기 김포시 김포한강1로 247 (운양동) 1층 108호,37.6542688,126.6848150
김포장기점,경기 김포시 김포한강1로51번길 28 (장기동),37.6441539,126.6669809
김포감정점,경기 김포시 중봉1로 9 (감정동),37.6230028,126.6987058
김포사우점,경기 김포시 사우중로 79 (북변동),37.6218911,126.7205211
김포향산점,경기 김포시 고촌읍 상미1로 7 (힐스테이트 리버시티 2단지) 나동 B117호,37.6192956,126.7461280
김포양곡점,경기 김포시 양촌읍 양곡로 495 새롬프라자101호,37.6551643,126.6281128
별내점,"경기 남양주시 별내중앙로 84 (별내동, 동익미라벨) 별내동익미라벨아파트 3904동 1층 20-2호",37.6497183,127.1219413
남양주덕소점,경기 남양주시 와부읍 덕소로 72 (벽산메가트리움) 105호 피자스쿨 남양주덕소점,37.5870289,127.2111360
진접1호점,경기 남양주시 진접읍 해밀예당3로 52,37.7144909,127.1985668
남양주호평점,경기 남양주시 늘을2로 26 (호평동),37.6550783,127.2441115
남양주마석점,경기 남양주시 화도읍 마석로 59,37.6562342,127.3057733
남양주도농점,경기 남양주시 도농로17번길 1 (다산동),37.6075609,127.1569385
퇴계원점,경기 남양주시 퇴계원읍 퇴계원로 61,37.6522765,127.1423049
장현점,경기 남양주시 진접읍 장현로 63,37.7166510,127.1801510
남양주 광릉내점,경기 남양주시 진접읍 광릉내로 12,37.7411367,127.1977970
사능점,경기 남양주시 진건읍 진건오남로 93,37.6590947,127.1780933
남양주양지점,경기 남양주시 오남읍 진건오남로 793,37.6974596,127.2031758
남양주평내점,경기 남양주시 평내로 88 (평내동),37.6432899,127.2369287
남양주금곡점,경기 남양주시 금곡로 38 (금곡동),37.6339415,127.2073527
오남점,경기 남양주시 오남읍 진건오남로 519,37.6802635,127.2097752
남양주도곡점,경기 남양주시 와부읍 덕소로 194,37.5789305,127.2161087
