가맹점명,주소,위도,경도
안양2호,경기 안양시 만안구 안양동 473-4,37.3908355,126.9263991
안중1호,경기 평택시 안중읍 현화리 47,36.9848980,126.9259395
안행,전북 전주시 완산구 효자동1가 202-1,35.8058133,127.1282081
암사1호,서울 강동구 암사동 504-37,37.5531331,127.1283412
암사2호,서울 강동구 암사동 446-18,37.5549878,127.1347590
압구정신사,서울 강남구 신사동 640-5 대성빌딩 1층 1호,37.5275481,127.0363103
앞산,대구 남구 대명동 780-3,35.8394666,128.5771511
애월해안도로,제주 제주시 애월읍 고내리 1145-1,33.4664773,126.3373393
야음1호,울산 남구 야음동 715-3,35.5234715,129.3187546
야탑1호,경기 성남시 분당구 야탑동 272-4,37.4116348,127.1385612
야탑역,경기 성남시 분당구 야탑동 376-13,37.4135767,127.1310878
약대,경기 부천시 삼정동 294-7,37.5167158,126.7698428
약사병영,울산 중구 약사동 629-17,35.5676499,129.3412644
약수,서울 중구 신당동 374-14,37.5561847,127.0111801
양곡,경기 김포시 양촌읍 양곡리 1302-2,37.6557092,126.6287283
양구,강원 양구군 양구읍 상리 227-105,38.1052839,127.9893603
양덕(창원),경남 창원시 마산회원구 양덕동 61-61,35.2308978,128.5837915
양덕(포항),경북 포항시 북구 양덕동 1574,36.0828850,129.4002135
양벌,경기 광주시 오포읍 양벌리 290-3,37.3799207,127.2549536
양산1호,광주 북구 양산동 877-1 1층,35.2102209,126.8793617
양양,강원 양양군 양양읍 남문리 125,38.0748128,128.6204317
양재1호,서울 서초구 양재동 327-2,37.4689778,127.0406915
양정,부산 부산진구 양정동 310-6,35.1737143,129.0728380
양정염포,울산 북구 양정동 497-11,35.5487896,129.3836746
양지,경기 용인시 처인구 양지리 454-2,37.2357442,127.2863482
양평,경기 양평군 양평읍 양근리 183-4,37.4903056,127.4965154
양학대이,경북 포항시 남구 이동 652-4,36.0300391,129.3389449
어방,경남 김해시 어방동 523-2,35.2449845,128.9048485
언양,울산 울주군 언양읍 남부리 256-2,35.5643862,129.1245280
엄궁,부산 사상구 엄궁동 40-94,35.1283159,128.9747484
에코시티,전북 전주시 덕진구 송천동2가 1298,35.8804357,127.1324466
여서,전남 여수시 여서동 227-2,34.7529591,127.7051170
여월작동,경기 부천시 여월동 332,37.5111203,126.8061048
여의도,서울 영등포구 여의도동 44-31,37.5197970,126.9302979
여주1호,경기 여주군 하동 405-4,37.2956814,127.6320770
역곡2동,경기 부천시 원미구 역곡동 48-5,37.4842901,126.8073223
역삼1호,서울 강남구 역삼동 837-15,37.4919067,127.0321710
역촌1호,서울 은평구 역촌동 55-1,37.6053649,126.9111555
연경,대구 북구 연경동 949-1,35.9425192,128.6151371
연남,서울 마포구 연남동 369-20,37.5634154,126.9207553
연무,충남 논산시 연무읍 안심리 76-64,36.1258725,127.0984841
연무1호,경기 수원시 장안구 연무동 249-13,37.2933091,127.0263882
연산1호,부산 연제구 연산동 479-9,35.1833779,129.1068775
연산2호,부산 연제구 연산4동 578-1 삼익아파트 상가 101호,35.1913992,129.0812693
연산3호,부산 연제구 연산동 2133-48,35.1740510,129.0926893
연산4호,부산 연산동 367-18,35.1883338,129.0967291
연수,충북 충주시 연수동 1610,36.9847421,127.9397532
연수중앙,인천 연수구 연수동 626,37.4131634,126.6792223
연신내,서울 은평구 불광동 484-72,37.6204676,126.9205051
연일,경북 포항시 남구 생지리 157-9,35.9974473,129.3480208
연제,광주 북구 연제동 41-3,35.1974764,126.8705513
연지,부산 부산진구 연지동 40-12,35.1723325,129.0593708
연향,전남 순천시 연향동 1351-1,34.9500054,127.5169209
연희1호(인천),인천 서구 심곡동 257-15,37.5421146,126.6732840
염창,서울 강서구 염창동 249-5,37.5505291,126.8729595
영광,전남 영광군 영광읍 신하리 819-8,35.2755809,126.4990481
영대,경북 경산시 압량면 신대리 497,35.8413898,128.7650269
영덕,경북 영덕군 영덕읍 덕곡리 162-1,36.4123448,129.3684601
영등1호,전북 익산시 영등동 765-4,35.9553943,126.9714463
영등2호,전북 익산시 영등동 843-5,35.9599249,126.9783360
영등포1호,서울 영등포구 신길동 232-42,37.5070322,126.9107523
영등포역,서울 영등포구 영등포동3가 21-10,37.5177396,126.9077187
영어교육도시,제주 서귀포시 대정읍 보성리 2476,33.2787997,126.2744650
영월,강원 영월군 영월읍 하송리 178-2,37.1802565,128.4629055
영종하늘도시,인천 중구 중산동 1884-4,37.4888484,126.5617786
영주,경북 영주시 휴천동 642-362,36.8143990,128.6207189
영주대청,부산 중구 대청동4가 82-13,35.1037387,129.0290415
영천1호,경북 영천시 망정동 208-21,35.9762597,128.9520944
영통1호,경기 수원시 영통구 영통동 1005-1,37.2505232,127.0760313
영통2호,경기 수원시 영통구 영통동 952-5,37.2647684,127.0768786
영화,경기 수원시 장안구 영화동 425-3,37.2874472,127.0061134
예산,충남 예산군 예산읍 산성리 709-4,36.6926460,126.8304562
오관,충남 홍성군 홍성읍 대교리 577,36.6023860,126.6711061
오남,경기 남양주시 오남읍 오남리 205-19,37.6909234,127.2134747
오류1호,서울 구로구 오류1동 10-3,37.4955131,126.8420913
오목고색,경기 수원시 권선구 오목천동 314-20,37.2461895,126.9659888
오목교,서울 양천구 신정동 1296 아이파크 상가 1층,37.5216542,126.8721535
오전고천,경기 의왕시 오전동 276-1,37.3526889,126.9719313
오창1호,충북 청주시 청원구 오창읍 각리 652-7,36.7079092,127.4158008
