storename,address
청주옥산점,충북 청주시 흥덕구 옥산면 청주역로 651 
충북증평점,충북 증평군 증평읍 중앙로 230 
충북진천점,충북 진천군 진천읍 중앙동로 85-1 
충주연수점,충북 충주시 번영대로 138 (연수동) 
충주용산점,충북 충주시 형설로 75-1 (용산동) 
충주호암점,충북 충주시 호암수청1로 51 (호암동) 
제천청전사거리점,충북 제천시 청전대로 177 (청전동) 
제천신백점,충북 제천시 관전로 43 (신백동) 
경남거창점,경남 거창군 거창읍 중앙로 154 
경남산청점,경남 산청군 산청읍 웅석봉로154번길 31 
통영봉평점,경남 통영시 도남로 88-1 (봉평동) 
양산평산점,경남 양산시 평산로 30 (평산동) 
양산웅상점,경남 양산시 삼호로 81 (삼호동) 
양산남부점,경남 양산시 양주로 38 (남부동) 
양산북정점,경남 양산시 북정로 63 (북정동) 
진주호탄점,경남 진주시 가호로 33 (호탄동) 
진주초전점,경남 진주시 초장로14번길 4-18 (초전동) 
진주퀸즈웰가점,"경남 진주시 새평거로 25 (평거동, 더 퀸즈웰가) "
진주금산점,경남 진주시 금산면 중천로 79 
진주혁신점,경남 진주시 사들로 79 (충무공동) 
경남하동점,경남 하동군 하동읍 중앙로 53 
경남함양점,경남 함양군 함양읍 함양로 1134 
경남사천읍점,경남 사천시 사천읍 읍내1길 68 
진해석동점,경남 창원시 진해구 석동로 71 (석동) 
김해구산점,경남 김해시 가락로 291 (구산동) 
경남합천읍점,경남 합천군 합천읍 동서로 76 
김해내외점,경남 김해시 함박로101번길 6 (외동) 
김해부원점,경남 김해시 김해대로2355번길 29 (부원동) 
김해삼계점,경남 김해시 해반천로168번길 19 (삼계동) 
김해삼방점,경남 김해시 삼안로 255 (삼방동) 
김해진영읍점,경남 김해시 진영읍 진영로 205 
김해율하점,경남 김해시 율하2로97번길 18 (율하동) 
마산서중점,경남 창원시 마산합포구 월영남로 2-1 (해운동) 
김해장유삼문점,경남 김해시 능동로167번길 1 (부곡동) 
경남창년읍점,경남 창녕군 창녕읍 종로 34-1 
경남고성읍점,경남 고성군 고성읍 중앙로43번길 79 
경북성주점,경북 성주군 성주읍 시장길 3-7 
경북영천점,"경북 영천시 시청동길 8 (문외동, 영진궁전빌라) "
경북경산사동점,경북 경산시 원효로 160 (사동) 
포항양덕점,"경북 포항시 북구 장량중앙로 40 (양덕동, 양덕 삼구트리니엔2차) "
경북상주점,경북 상주시 상산로 292 (서성동) 
김천평화점,경북 김천시 김천로 79 (평화동) 
김천아포점,경북 김천시 아포읍 한지1길 56 
김천혁신점,경북 김천시 용전1로 56 (율곡동) 
문경점촌점,경북 문경시 호서로 10 (점촌동) 
경북안동1호점,경북 안동시 경북대로 418 (옥동) 
진주혁신점,경남 진주시 사들로 79 (충무공동) 1층
구미도량점,경북 구미시 도봉로 76-47 (도량동) 
구미상모초교점,경북 구미시 상사동로 58 (임은동) 
구미형곡점,경북 구미시 형곡로28길 4 (형곡동) 
경북전문대점,경북 영주시 대학로 80-2 (가흥동) 
구미신비로점,경북 구미시 신비로 95 (공단동) 
광양광영점,전남 광양시 금영로 132-1 (광영동) 
광양마동점,전남 광양시 진등5길 14 (마동) 
광양읍점,전남 광양시 광양읍 매천로 834 
광양중동점,"전남 광양시 공영로 39 (중동, 광양중마호반리젠시빌아파트) "
목포산정점,전남 목포시 원산중앙로 6 (산정동) 
목포연동점,전남 목포시 산정로 66 (산정동) 
하당우성점,전남 목포시 신흥로 15 (상동) 
순천금당점,전남 순천시 대석길 42 (연향동) 
순천신대점,전남 순천시 해룡면 신대로 97 (중흥에스-클래스5단지) 
순천연향점,"전남 순천시 연향1로 55 (연향동, 부영1차아파트) "
순천오천점,전남 순천시 오천6길 24 (오천동) 
순천왕지점,전남 순천시 백연길 104 (조례동) 
순천조례점,전남 순천시 봉화2길 93 (조례동) 
순천중앙점,전남 순천시 중앙로 126 (중앙동) 
순천용당점,전남 순천시 삼산로 93 (용당동) 
순천서면배들점,전남 순천시 서면 배들이길 32 
여수교동점,전남 여수시 통제영2길 7 (교동) 
여수국동점,"전남 여수시 신월로 655 (국동, 서희스타힐스) "
여수무선점,전남 여수시 무선중앙로 65 (선원동) 
여수미평점,전남 여수시 대학로 23-1 (미평동) 
여수신기점,전남 여수시 흥국로 103 (신기동) 
여수여문점,전남 여수시 문수로 49 (문수동) 
여수학동점,전남 여수시 무선로 28 (학동) 
여수죽림점,전남 여수시 소라면 죽림로 31 
전남고흥점,전남 고흥군 고흥읍 고흥로 1789 
나주빛가람점,전남 나주시 그린로 195 (빛가람동) 
전남나주점,전남 나주시 중앙로 41 (중앙동) 
나주남평점,전남 나주시 남평읍 강변2길 22 
전남무안점,전남 무안군 무안읍 불무로 25 
전남벌교점,전남 보성군 벌교읍 채동선로 237-2 
전남영광점,전남 영광군 영광읍 중앙로 171 
전남해남점,전남 해남군 해남읍 중앙1로 163-1 
전남화순점,전남 화순군 화순읍 중앙로 89 
전남고흥녹동점,전남 고흥군 도양읍 천마로 86 
군산대점,전북 군산시 황룡2길 8 (미룡동) 
군산나운점,전북 군산시 하나운로 23 (나운동) 
군산명산사거리점,전북 군산시 대학로 60-1 (명산동) 
군산수송점,전북 군산시 수송동로 79 (수송동) 
전북김제점,전북 김제시 동서로 188 (요촌동) 
남원하정점,전북 남원시 광한북로 47 (하정동) 
완주봉동터미널점,전북 완주군 봉동읍 봉동로 166 
완주봉동터미널 읍내점,전북 완주군 봉동읍 봉동로 166 
완주봉동점,전북 완주군 봉동읍 완주산단9로 28 
익산동부시장점,전북 익산시 선화로 328 (마동) 
익산동산점,전북 익산시 평동로 726 (동산동) 
익산모현점,전북 익산시 고현로 98 (모현동1가) 
익산부송점,전북 익산시 부송1로 81 (부송동) 
익산영등점,전북 익산시 고봉로30길 14 (영등동) 
익산원대점,전북 익산시 무왕로 856 (신동) 
전북고창점,전북 고창군 고창읍 중앙로 230 
전북부안점,전북 부안군 부안읍 번영로 169 
전북임실점,전북 임실군 임실읍 운수로 25 
전주덕진구청점,전북 전주시 덕진구 태진로 120 (진북동) 
전주동산점,전북 전주시 덕진구 편운로 29 (여의동2가) 
전주삼익점,전북 전주시 완산구 거마남로 84 (삼천동1가) 
전주삼천점,"전북 전주시 완산구 삼천천변1길 45 (삼천동1가, 흥건2차아파트) "
전주서곡점,전북 전주시 완산구 세내로 558 (효자동3가) 
전주서부시장점,전북 전주시 완산구 용머리로 157 (효자동1가) 
전주서신점,전북 전주시 완산구 당산로 39 (서신동) 
전주송천대명점,전북 전주시 덕진구 시천로 50 (송천동1가) 
전주송천점,전북 전주시 덕진구 붓내3길 19 (송천동2가) 
전주아중점,전북 전주시 덕진구 무삼지로 21 (인후동1가) 
전주전북대점,전북 전주시 덕진구 백제대로 639 (금암동) 
전주중화산점,전북 전주시 완산구 유연로 282 (중화산동2가) 
전주평화점,전북 전주시 완산구 평화로 136 (평화동2가) 
전주하가지구점,전북 전주시 덕진구 가련산로 17 (덕진동2가) 
전주혁신점,전북 전주시 덕진구 안전로 197 (장동) 
전주호성점,전북 전주시 덕진구 호성1길 12 (우아동3가) 
전주효자점,전북 전주시 완산구 거마평로 204-1 (효자동1가) 
전주휴먼시아점,전북 전주시 완산구 호암로 19 (효자동2가) 
정읍상동점,전북 정읍시 충정로 75 (상동) 
정읍수성점,전북 정읍시 샘골로 116 (수성동) 
화곡본동시장점,서울 강서구 까치산로 45 (화곡동) 
가양대교점,서울 강서구 화곡로68길 36 (등촌동) 
마곡역점,"서울 강서구 공항대로 140 (마곡동, 마곡엠밸리12단지) "
등촌점,서울 강서구 공항대로41길 50 (등촌동) 
염창점,서울 강서구 양천로 696 (염창동) 
곰달래점,서울 강서구 곰달래로 165 (화곡동) 
방화역점,서울 강서구 금낭화로 128 (방화동) 
가양점,서울 강서구 강서로 506 (가양동) 
개화산역점,서울 강서구 양천로 28 (방화동) 
내발산점,서울 강서구 강서로 306 (내발산동) 
공항시장역점,서울 강서구 공항대로3길 38 (공항동) 
